7/25/2022,ACAP Early Education Services,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Page 1 of 1,Unnamed: 24,Unnamed: 25
2:55 PM,,,,,,,,,,,,,,,,,,,,,,,jchandler,,
,4240 - Family Outcomes - Analysis,,,,,,,,,,,,,,,,,,,,,,,,
,<All Records>,,,,,,,,,,,,,,,,,,,,,,,,
Family,,"Family
ID",Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,,Leadership and Advocacy,TOTAL
ACAP Early Education Services - Caribou Early Education Services - AM Colaboration,,,,,,,,,,,,,,,,,,,,,,,,,
2078's Family,,2078,1,4,4,3,4,3,4,4,3,4,3,3,3,4,3,,4,4,4,4,,3,68
,,,2,4,4,3,4,3,4,4,3,4,4,3,4,4,3,,4,3,4,4,,3,69
,,,+/-,-,-,-,-,-,-,-,-,-,"?
1",-,"?
1",-,-,,-,"?
1",-,-,,-,"?
1"
1517's Family,,1517,1,5,4,3,4,4,3,4,3,4,4,4,4,4,4,,4,4,4,3,,3,72
,,,2,5,4,3,4,3,3,4,3,4,4,4,4,4,4,,4,4,4,3,,3,71
,,,+/-,-,-,-,-,"?
1",-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,"?
1"
1647's Family,,1647,1,4,4,3,3,4,4,4,3,4,5,5,5,5,4,,5,4,4,4,,3,77
,,,2,4,4,3,3,4,3,4,3,4,4,5,5,5,4,,5,4,4,4,,3,75
,,,+/-,-,-,-,-,-,"?
1",-,-,-,"?
1",-,-,-,-,,-,-,-,-,,-,"?
2"
1521's Family,,1521,1,5,4,3,4,4,4,4,3,4,4,4,4,4,4,,4,4,4,4,,3,74
,,,2,5,4,3,5,5,4,5,3,5,5,5,5,4,5,,5,4,4,4,,4,84
,,,+/-,-,-,-,"?
1","?
1",-,"?
1",-,"?
1","?
1","?
1","?
1",-,"?
1",,"?
1",-,-,-,,"?
1","?
10"
2177's Family,,2177,1,4,4,3,4,4,3,4,3,4,4,3,4,4,3,,4,4,4,3,,2,68
,,,2,4,4,3,4,4,4,4,3,4,4,4,4,3,4,,4,4,4,3,,3,71
,,,+/-,-,-,-,-,-,"?
1",-,-,-,-,"?
1",-,"?
1","?
1",,-,-,-,-,,"?
1","?
3"
2269's Family,,2269,1,3,3,3,4,4,3,4,3,4,4,4,4,4,3,,3,4,4,3,,2,66
,,,2,3,4,3,4,4,3,4,3,3,4,3,4,4,4,,3,4,4,3,,3,67
,,,+/-,-,"?
1",-,-,-,-,-,-,"?
1",-,"?
1",-,-,"?
1",,-,-,-,-,,"?
1","?
1"
1960's Family,,1960,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,3,,3,73
,,,2,3,4,3,4,4,4,4,3,5,4,4,4,4,4,,4,3,4,3,,3,71
,,,+/-,"?
1",-,-,-,-,-,-,"?
1","?
1",-,-,-,-,-,,-,"?
1",-,-,,-,"?
2"
Classroom Average - AM Colaboration,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,7,1,4.1,3.9,3,3.9,3.9,3.6,4,3.1,4,4,3.9,4,4.1,3.6,,4,4,4,3.4,,2.7,71.1
,,7,2,4,4,3,4,3.9,3.6,4.1,3,4.1,4.1,4,4.3,4,4,,4.1,3.7,4,3.4,,3.1,72.6
,,7,+/-,"?
0.1","?
0.1",-,"?
0.1",-,-,"?
0.1","?
0.1","?
0.1","?
0.1","?
0.1","?
0.3","?
0.1","?
0.4",,"?
0.1","?
0.3",-,-,,"?
0.4","?
1.4"
ACAP Early Education Services - Caribou Early Education Services - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
1126's Family,,1126,1,5,4,4,5,5,4,5,5,4,5,4,5,5,5,,5,4,5,4,,4,87
,,,2,5,4,4,5,4,5,5,3,4,5,4,5,5,5,,5,4,5,4,,4,85
,,,+/-,-,-,-,-,"?
1","?
1",-,"?
2",-,-,-,-,-,-,,-,-,-,-,,-,"?
2"
2269's Family,,2269,1,3,3,3,4,4,3,4,3,4,4,4,4,4,3,,3,4,4,3,,2,66
,,,2,3,4,3,4,4,3,4,3,3,4,3,4,4,4,,3,4,4,3,,3,67
,,,+/-,-,"?
1",-,-,-,-,-,-,"?
1",-,"?
1",-,-,"?
1",,-,-,-,-,,"?
1","?
1"
2136's Family,,2136,1,3,4,3,4,3,4,3,3,4,4,4,4,3,3,,4,4,4,3,,2,66
,,,2,4,4,3,3,3,3,4,3,4,4,4,3,3,3,,3,4,4,3,,3,65
,,,+/-,"?
1",-,-,"?
1",-,"?
1","?
1",-,-,-,-,"?
1",-,-,,"?
1",-,-,-,,"?
1","?
1"
1233's Family,,1233,1,3,3,3,4,2,3,4,3,4,5,4,5,2,3,,5,3,4,4,,3,67
,,,2,3,3,3,4,2,3,4,3,4,5,4,5,2,3,,5,3,4,4,,3,67
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-
1023's Family,,1023,1,4,4,3,3,4,3,4,3,3,4,4,4,3,4,,4,3,5,4,,3,69
,,,2,4,4,3,4,4,3,4,3,4,3,3,3,3,4,,3,4,4,4,,3,67
,,,+/-,-,-,-,"?
1",-,-,-,-,"?
1","?
1","?
1","?
1",-,-,,"?
1","?
1","?
1",-,,-,"?
2"
1132's Family,,1132,1,5,5,5,3,5,4,4,3,5,5,5,5,5,5,,5,5,3,4,,4,85
,,,2,5,5,5,3,5,4,4,3,5,5,5,5,5,4,,5,5,5,4,,4,86
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,"?
1",,-,-,"?
2",-,,-,"?
1"
1804's Family,,1804,1,4,4,3,4,2,3,4,3,4,4,4,4,3,3,,4,4,4,3,,2,66
,,,2,5,4,3,4,2,4,4,3,4,4,3,4,3,4,,4,4,4,3,,3,69
,,,+/-,"?
1",-,-,-,-,"?
1",-,-,-,-,"?
1",-,-,"?
1",,-,-,-,-,,"?
1","?
3"
Classroom Average - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,7,1,3.9,3.9,3.4,3.9,3.6,3.4,4,3.3,4,4.4,4.1,4.4,3.6,3.7,,4.3,3.9,4.1,3.6,,2.9,72.3
,,7,2,4.1,4,3.4,3.9,3.4,3.6,4.1,3,4,4.3,3.7,4.1,3.6,3.9,,4,4,4.3,3.6,,3.3,72.3
,,7,+/-,"?
0.3","?
0.1",-,-,"?
0.1","?
0.1","?
0.1","?
0.3",-,"?
0.1","?
0.4","?
0.3",-,"?
0.1",,"?
0.3","?
0.1","?
0.1",-,,"?
0.4",-
ACAP Early Education Services - Caribou Early Education Services - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
2047's Family,,2047,1,3,4,3,3,4,2,4,3,4,4,3,3,2,3,,3,3,4,3,,2,60
,,,2,3,4,3,4,4,3,4,3,4,4,4,4,4,3,,4,4,4,3,,3,69
,,,+/-,-,-,-,"?
1",-,"?
1",-,-,-,-,"?
1","?
1","?
2",-,,"?
1","?
1",-,-,,"?
1","?
9"
2281's Family,,2281,1,3,4,3,4,2,3,3,3,4,3,4,4,3,4,,4,3,4,4,,3,65
,,,2,3,4,3,3,4,3,4,3,4,3,4,3,4,4,,3,4,4,4,,3,67
,,,+/-,-,-,-,"?
1","?
2",-,"?
1",-,-,-,-,"?
1","?
1",-,,"?
1","?
1",-,-,,-,"?
2"
1297's Family,,1297,1,4,4,3,4,4,4,3,3,4,5,5,5,4,3,,4,4,4,3,,3,73
,,,2,5,4,3,5,4,4,4,3,4,4,4,4,4,3,,4,4,4,4,,3,74
,,,+/-,"?
1",-,-,"?
1",-,-,"?
1",-,-,"?
1","?
1","?
1",-,-,,-,-,-,"?
1",,-,"?
1"
2236's Family,,2236,1,4,4,3,2,2,3,3,3,4,4,5,4,3,3,,4,3,4,3,,3,64
,,,2,4,4,3,2,2,3,3,3,4,4,5,4,3,3,,4,4,4,4,,3,66
,,,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,"?
1",-,"?
1",,-,"?
2"
2284's Family,,2284,1,4,4,3,4,4,4,4,3,4,4,4,4,5,4,,4,4,4,4,,3,74
,,,2,4,4,3,4,4,4,5,4,5,5,4,4,4,4,,4,4,4,4,,3,77
,,,+/-,-,-,-,-,-,-,"?
1","?
1","?
1","?
1",-,-,"?
1",-,,-,-,-,-,,-,"?
3"
1877's Family,,1877,1,4,5,3,5,3,4,5,3,4,4,3,4,3,4,,4,4,4,3,,3,72
,,,2,4,3,3,5,4,4,5,3,4,4,5,4,3,3,,4,4,3,4,,3,72
,,,+/-,-,"?
2",-,-,"?
1",-,-,-,-,-,"?
2",-,-,"?
1",,-,-,"?
1","?
1",,-,-
2291's Family,,2291,1,3,3,3,4,4,4,4,3,4,4,4,4,3,3,,4,4,4,4,,3,69
,,,2,4,4,3,4,4,4,5,3,4,3,5,3,4,3,,4,4,4,4,,3,72
,,,+/-,"?
1","?
1",-,-,-,-,"?
1",-,-,"?
1","?
1","?
1","?
1",-,,-,-,-,-,,-,"?
3"
Classroom Average - EHS 2,,,,,,,,,,,,,,,,,,,,,,,,,
Families w/ complete assessments:,,7,1,3.6,4,3,3.7,3.3,3.4,3.7,3,4,4,4,4,3.3,3.4,,3.9,3.6,4,3.4,,2.9,68.1
,,7,2,3.9,3.9,3,3.9,3.7,3.6,4.3,3.1,4.1,3.9,4.4,3.7,3.7,3.3,,3.9,4,3.9,3.9,,3,71
,,7,+/-,"?
0.3","?
0.1",-,"?
0.1","?
0.4","?
0.1","?
0.6","?
0.1","?
0.1","?
0.1","?
0.4","?
0.3","?
0.4","?
0.1",,-,"?
0.4","?
0.1","?
0.4",,"?
0.1","?
2.9"
ACAP Early Education Services - Caribou Early Education Services - Foundational Classroom,,,,,,,,,,,,,,,,,,,,,,,,,
2064's Family,,2064,1,3,4,3,4,3,3,4,3,4,3,4,4,3,4,,3,4,4,3,,2,65
